0,0.968174166
10,0.947122643
20,0.893918669
30,0.984291473
40,0.947773442
50,0.920825335
60,1.001823934
160,1.060286831
260,1.190915622
360,1.125213256
460,1.212205528
560,1.103952219
660,1.085427485
760,1.038768792
860,1.014760811
960,1.054280455
1060,1.026945162
1160,1.032408961
1260,1.088217959
1360,1.065561178
1460,1.039937661
1560,1.063729469
1660,1.023864959
1760,1.011322766
1860,1.039122982
1960,1.030079627
2060,1.001057339
2160,1.015175806
2260,1.019022214
2360,1.039566825
2460,1.012744946
2560,0.991223784
2660,1.091302337
2760,1.116619107
2860,1.017359036
2960,1.013070082
3060,1.005106684
3160,1.028699344
3260,1.040673462
3360,1.081209872
3460,1.036467296
3560,1.022564904
3660,1.03480661
3760,0.981789856
3860,1.034588224
3960,1.00993445
4060,1.010741672
4160,1.000576672
4260,1.022013743
4360,1.024081123
4460,1.016318557
4560,1.015006737
4660,1.000804764
4760,1.031261704
4860,1.061956431
4960,1.007830774
5060,1.003697618
5160,0.994189409
5260,1.111145842
5360,1.025548537
5460,1.085803264
5560,1.096732517
5660,1.05569254
5760,1.044594261
5860,1.095812676
5960,1.095585854
6060,1.031341371
6160,1.101617714
6260,1.10255981
6360,1.057236577
6460,1.059112448
6560,1.025759462
6660,1.057907591
6760,1.066465196
6860,1.053747721
6960,1.091480488
7060,1.074597906
7160,1.11610806
7260,1.147304308
7360,1.120107177
7460,1.144256837
7560,1.128591804
7660,1.111492959
7760,1.079701394
7860,1.060550197
7960,1.104688069
8060,1.036037434
8160,1.094918051
8260,1.027857014
8360,1.110603292
8460,1.015361031
8560,1.042897342
8660,0.98617625
8760,0.993331598
8860,0.995491043
8960,1.09273906
9060,1.03812677
9160,1.012606083
9260,1.075674329
9360,1.058762342
9460,1.119326739
9560,1.046607609
9660,1.002023551
9760,0.992320683
9860,1.026740782
9960,0.997953687
10000,1.013320704
